lastTicketingDate,numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Base Price,Grand Total Price,Branded Fare Labels,Included Checked Bags Quantities,BAGGAGE_description,BAGGAGE_isChargeable,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,First flight departure,Second flight departure,Third flight departure,First flight arrival,Second flight arrival,Third flight arrival,Meal Option,Flight depature date,Departure Time,Arrival Time,Day of Week Departure,Day Type Departure,Log Grand Total Price
2024-05-21,4,LO,13.416666666666666,1,349.0,664.56,ECONOMY STANDARD,1,PREPAID TO 23KG OR EXC DIM,True,1.3333333333333333, WAW,9.5,No layover,0,12:55:00,16:50:00,,14:15:00,20:20:00,,HOT DINNER,2024-06-17,Afternoon,Evening,Monday,Weekday,6.499125167530816
2024-05-21,4,LO,28.916666666666668,1,349.0,664.56,ECONOMY STANDARD,1,PREPAID TO 23KG OR EXC DIM,True,1.3333333333333333, WAW,9.333333333333334,No layover,0,16:50:00,12:25:00,,18:10:00,15:45:00,,HOT DINNER,2024-06-17,Afternoon,Afternoon,Monday,Weekday,6.499125167530816
2024-05-21,9,TK,18.166666666666668,1,484.0,756.46,RESTRICTED,2,1 PIECE X 8 KG CABIN BAGGAGE,False,3.4166666666666665, IST,10.75,No layover,0,10:20:00,18:45:00,,14:45:00,22:30:00,,MEAL SERVICE,2024-06-17,Morning,Evening,Monday,Weekday,6.628649656747857
2024-06-17,9,AZ,18.58333333333333,2,858.0,1061.24,ECONOMY FLEX,1,,,2.083333333333333, CDG,2.083333333333333, FCO,9.75,06:20:00,11:40:00,15:10:00,08:25:00,13:45:00,18:55:00,MEAL AND WINE,2024-06-17,Morning,Evening,Monday,Weekday,6.96719331473075
2024-05-25,9,AC,15.0,1,904.0,1108.46,BASIC,0,CHECKED BAG FIRST,True,7.583333333333333, YUL,1.8333333333333333,No layover,0,12:20:00,19:30:00,,13:55:00,21:20:00,,COMPLIMENTARY MEAL,2024-06-17,Afternoon,Evening,Monday,Weekday,7.010726943606016
2024-05-25,9,UA,15.0,1,904.0,1108.46,BASIC ECONOMY,0,CHECKED BAG FIRST,True,7.583333333333333, YUL,1.8333333333333333,No layover,0,12:20:00,19:30:00,,13:55:00,21:20:00,,,2024-06-17,Afternoon,Evening,Monday,Weekday,7.010726943606016
2024-05-25,9,UA,12.833333333333334,1,904.0,1111.35,BASIC ECONOMY,0,CHECKED BAG FIRST,True,1.8333333333333333, ZRH,9.166666666666666,No layover,0,09:40:00,13:20:00,,11:30:00,16:30:00,,,2024-06-17,Morning,Afternoon,Monday,Weekday,7.013330771530775
2024-05-25,9,UA,11.916666666666666,1,904.0,1111.71,BASIC ECONOMY,0,CHECKED BAG FIRST,True,1.5833333333333337, MUC,8.916666666666666,No layover,0,08:55:00,11:55:00,,10:30:00,14:50:00,,,2024-06-17,Morning,Afternoon,Monday,Weekday,7.013654649431639
2024-05-25,9,UA,14.75,1,904.0,1111.71,BASIC ECONOMY,0,CHECKED BAG FIRST,True,1.5833333333333337, MUC,8.916666666666666,No layover,0,06:05:00,11:55:00,,07:40:00,14:50:00,,,2024-06-17,Morning,Afternoon,Monday,Weekday,7.013654649431639
2024-05-25,9,UA,12.166666666666666,1,904.0,1112.23,BASIC ECONOMY,0,CHECKED BAG FIRST,True,1.5833333333333337, BRU,8.416666666666666,No layover,0,06:50:00,10:35:00,,08:25:00,13:00:00,,,2024-06-17,Morning,Afternoon,Monday,Weekday,7.014122287955589
2024-05-25,9,AC,15.883333333333333,1,904.0,1113.83,BASIC,0,CHECKED BAG FIRST,True,8.25, YYZ,1.8,No layover,0,12:25:00,20:30:00,,14:40:00,22:18:00,,COMPLIMENTARY MEAL,2024-06-17,Afternoon,Evening,Monday,Weekday,7.0155598056105735
2024-05-25,9,UA,15.883333333333333,1,904.0,1113.83,BASIC ECONOMY,0,CHECKED BAG FIRST,True,8.25, YYZ,1.8,No layover,0,12:25:00,20:30:00,,14:40:00,22:18:00,,,2024-06-17,Afternoon,Evening,Monday,Weekday,7.0155598056105735
2024-05-25,9,UA,11.25,1,904.0,1114.61,BASIC ECONOMY,0,CHECKED BAG FIRST,True,1.5, FRA,8.916666666666666,No layover,0,14:50:00,17:10:00,,16:20:00,20:05:00,,,2024-06-17,Afternoon,Evening,Monday,Weekday,7.016259846923648
2024-05-25,9,UA,13.833333333333334,1,904.0,1114.61,BASIC ECONOMY,0,CHECKED BAG FIRST,True,1.5, FRA,8.916666666666666,No layover,0,12:15:00,17:10:00,,13:45:00,20:05:00,,,2024-06-17,Afternoon,Evening,Monday,Weekday,7.016259846923648
2024-05-25,9,UA,16.416666666666668,1,904.0,1114.61,BASIC ECONOMY,0,CHECKED BAG FIRST,True,1.5, FRA,8.916666666666666,No layover,0,09:40:00,17:10:00,,11:10:00,20:05:00,,,2024-06-17,Morning,Evening,Monday,Weekday,7.016259846923648
2024-05-25,9,OS,16.166666666666668,1,904.0,1128.81,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.6666666666666663, VIE,8.0,No layover,0,09:50:00,18:00:00,,11:30:00,20:00:00,,CATERING ON EUROPE FLTS,2024-06-17,Morning,Evening,Monday,Weekday,7.028919259464637
2024-05-25,9,OS,16.25,1,904.0,1128.81,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.6666666666666663, VIE,9.166666666666666,No layover,0,09:50:00,16:55:00,,11:30:00,20:05:00,,CATERING ON EUROPE FLTS,2024-06-17,Morning,Evening,Monday,Weekday,7.028919259464637
2024-05-25,9,OS,19.0,1,904.0,1128.81,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.6666666666666663, VIE,8.0,No layover,0,07:00:00,18:00:00,,08:40:00,20:00:00,,CATERING ON EUROPE FLTS,2024-06-17,Morning,Evening,Monday,Weekday,7.028919259464637
2024-05-25,9,OS,19.08333333333333,1,904.0,1128.81,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.6666666666666663, VIE,9.166666666666666,No layover,0,07:00:00,16:55:00,,08:40:00,20:05:00,,CATERING ON EUROPE FLTS,2024-06-17,Morning,Evening,Monday,Weekday,7.028919259464637
2024-05-25,9,LX,12.833333333333334,1,904.0,1128.85,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.8333333333333333, ZRH,9.166666666666666,No layover,0,09:40:00,13:20:00,,11:30:00,16:30:00,,CATERING ON EUROPE AND CAI FLT,2024-06-17,Morning,Afternoon,Monday,Weekday,7.028954694383982
2024-05-25,9,LH,14.666666666666666,1,904.0,1129.21,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.5833333333333337, MUC,8.916666666666666,No layover,0,06:10:00,11:55:00,,07:45:00,14:50:00,,CATERING ON EUROPE FLTS,2024-06-17,Morning,Afternoon,Monday,Weekday,7.029273552167256
2024-05-25,4,LH,11.166666666666666,1,904.0,1132.11,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.5, FRA,8.0,No layover,0,14:50:00,18:00:00,,16:20:00,20:00:00,,CATERING ON EUROPE FLTS,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
2024-05-25,4,LH,11.25,1,904.0,1132.11,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.5, FRA,8.916666666666666,No layover,0,14:50:00,17:10:00,,16:20:00,20:05:00,,CATERING ON EUROPE FLTS,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
2024-05-25,4,LH,13.666666666666666,1,904.0,1132.11,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.5, FRA,7.583333333333333,No layover,0,14:50:00,20:55:00,,16:20:00,22:30:00,,CATERING ON EUROPE FLTS,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
2024-05-25,4,LH,14.333333333333334,1,904.0,1132.11,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.5, FRA,8.833333333333334,No layover,0,14:50:00,20:20:00,,16:20:00,23:10:00,,CATERING ON EUROPE FLTS,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
2024-05-25,9,LH,12.833333333333334,1,904.0,1132.11,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.5, FRA,8.5,No layover,0,06:35:00,10:55:00,,08:05:00,13:25:00,,CATERING ON EUROPE FLTS,2024-06-17,Morning,Afternoon,Monday,Weekday,7.031838427187
2024-05-25,9,LH,14.0,1,904.0,1132.11,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.5, FRA,8.0,No layover,0,12:00:00,18:00:00,,13:30:00,20:00:00,,CATERING ON EUROPE FLTS,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
2024-05-25,9,LH,14.0,1,904.0,1132.11,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.5, FRA,10.0,No layover,0,12:00:00,16:00:00,,13:30:00,20:00:00,,CATERING ON EUROPE FLTS,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
2024-05-25,9,LH,14.083333333333334,1,904.0,1132.11,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.5, FRA,8.916666666666666,No layover,0,12:00:00,17:10:00,,13:30:00,20:05:00,,CATERING ON EUROPE FLTS,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
2024-05-25,9,LH,16.5,1,904.0,1132.11,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,1.5, FRA,7.583333333333333,No layover,0,12:00:00,20:55:00,,13:30:00,22:30:00,,CATERING ON EUROPE FLTS,2024-06-17,Afternoon,Evening,Monday,Weekday,7.031838427187
2024-06-17,9,VS,8.833333333333334,0,1001.0,1205.46,ECONOMY LIGHT,0,1ST BAG MAX 23KG,True,8.833333333333334,No layover,0,No layover,0,14:00:00,,,16:50:00,,,MEALS AND DRINKS,2024-06-17,Afternoon,Afternoon,Monday,Weekday,7.094616515818124
2024-05-25,4,LX,14.583333333333334,1,988.0,1212.85,ECONOMY SAVER,1,,,1.75, ZRH,9.166666666666666,No layover,0,07:55:00,13:20:00,,09:40:00,16:30:00,,CATERING ON EUROPE AND CAI FLT,2024-06-17,Morning,Afternoon,Monday,Weekday,7.10072824095123
2024-05-25,4,LH,11.916666666666666,1,988.0,1213.21,ECONOMY SAVER,1,,,1.5833333333333337, MUC,8.0,No layover,0,16:05:00,20:00:00,,17:40:00,22:00:00,,CATERING ON EUROPE FLTS,2024-06-17,Afternoon,Evening,Monday,Weekday,7.101025018444484
2024-05-25,4,LH,10.25,1,988.0,1216.11,ECONOMY SAVER,1,,,1.5, FRA,7.583333333333333,No layover,0,18:15:00,20:55:00,,19:45:00,22:30:00,,CATERING ON EUROPE FLTS,2024-06-17,Evening,Evening,Monday,Weekday,7.103412518961122
2024-05-25,4,LH,12.75,1,988.0,1216.11,ECONOMY SAVER,1,,,1.5, FRA,8.0,No layover,0,13:15:00,18:00:00,,14:45:00,20:00:00,,CATERING ON EUROPE FLTS,2024-06-17,Afternoon,Evening,Monday,Weekday,7.103412518961122
2024-05-25,4,LH,12.75,1,988.0,1216.11,ECONOMY SAVER,1,,,1.5, FRA,10.0,No layover,0,13:15:00,16:00:00,,14:45:00,20:00:00,,CATERING ON EUROPE FLTS,2024-06-17,Afternoon,Evening,Monday,Weekday,7.103412518961122
